"name","quantity","weightingms","weight_category"
"Veeba Thousand Island Dressing",300,300,"LOW"
"Mother's Recipe Potato Papad",75,70,"LOW"
"Chakaachak Mega Star Toilet Brush",1,58,"LOW"
"Veeba Favourites Eggless Burger Mayonnaise",250,250,"LOW"
"Vicks Cough Drops Menthol",20,1160,"medium"
"Savlon Moisture Shield Hand Wash",750,750,"LOW"
"Lux International Creamy White Soap Bar",75,75,"LOW"
"Saffola 100% Pure Honey",750,1000,"medium"
"Veeba Pasta And Pizza Sauce",280,280,"LOW"
"24 Mantra Organic Besan",500,500,"LOW"
"The Whole Truth Vegan Fig Apricot & Orange Energy Bar No Sugar",40,40,"LOW"
"Maybelline New York Colossal Kajal Black",0,0,"LOW"
"Ambi Pur Car Freshener Gel - Relaxing Lavender",75,75,"LOW"
"Baggry's Crunchy Muesli Almond Raisins & Honey",200,200,"LOW"
"24 Mantra Organic Puffed Rice",200,200,"LOW"
"Amul Butter - Pasteurised (School Pack)",100,100,"LOW"
"Nivea Lip Balm Soft Rose for 24h Moisture with Natural Oils Delicate Rose Shine",4,5,"LOW"
"Sebamed Anti - Dandruff Shampoo",200,200,"LOW"
"Fevistik Super Glue Stick",15,15,"LOW"
"Spring Onion ",250,250,"LOW"
"Banana Leaf",1,58,"LOW"
"Kurkure Green Chutney, Rajasthani Style",90,90,"LOW"
"Kellogg's Real Almond & Honey Corn Flakes",300,300,"LOW"
"Aashirvaad Select Atta",1,1000,"medium"
"Moov Fast Pain Relief Cream",50,50,"LOW"
"Everest Kesari Milk Masala",50,50,"LOW"
"Top Ramen  Noodles Curry Veg Pouch",70,70,"LOW"
"Om Bhakti Wick for Diya - Ghee Cotton Wicks Big ",30,30,"LOW"
"Weikfield Baking Powder",50,50,"LOW"
"Sunfeast Yippee! Mood Masala Noodles",260,260,"LOW"
"Dhara Nourish Refined Sunflower Oil Pouch",1,1000,"medium"
"Clove Sensitive Toothpaste with Anti-Sensitivity & Fluoride Formulation",80,80,"LOW"
"Whisper Choice Ultra XL Sanitary Pad",20,1160,"medium"
"Gillette Mach 3 Mens Razor Blades",4,232,"LOW"
"Everest Kitchen King Masala",100,100,"LOW"
"Gala Microfiber Multipurpose Cloth",1,58,"LOW"
"Del Monte Pizza & Pasta Sauce Spout Pack",400,400,"LOW"
"Yummiez Green Peas",1,1000,"medium"
"Nimyle Lemongrass Floor Cleaner",975,975,"LOW"
"Praakritik Organic Ginger Powder",100,100,"LOW"
"Origami Paper Plates",50,50,"LOW"
"Head & Shoulders 2 In 1 Anti Dandruff Smooth & Silky Shampoo+Conditioner",340,340,"LOW"
"Nivea Creme All Season Multi-Purpose Cream ",100,100,"LOW"
"Bajaj Almond Drops Hair Oil Bottle",200,200,"LOW"
"The Whole Truth Peanut Cocoa Mini Protein Bar No Sugar ",27,27,"LOW"
"Colgate Max Fresh Peppermint Toothpaste ",300,300,"LOW"
"Head & Shoulders Anti Dandruff Anti Hairfall Shampoo",240,340,"LOW"
"Sugarfree Gold Low Calorie Sweetner",100,110,"LOW"
"Sponge Gourd",300,300,"LOW"
"Saffola Everyday Peppy Tomato Masala Oats",500,500,"LOW"
"Amrutanjan Pain Balm Extra Power",27,28,"LOW"
"Potato",1,1000,"medium"
"TRESemme Smooth And Shine Conditioner",190,190,"LOW"
"Gowardhan Cow Ghee Pouch",1,1000,"medium"
"Flying Bird Butter Scotch Essence",20,20,"LOW"
"Popular Essentials Cashew Split",250,250,"LOW"
